data point ID,adjudicated,label,text
0,adjudicated,lame,What do you call a bear that is missing his ears? B.
1,adjudicated,witty,What do you call a factory that makes okay products. A satisfactory.
2,adjudicated,lame,Why did the boy bring a ladder on the bus? He wanted to go to high school.
3,adjudicated,witty,I just broke up with my mathematician girlfriend. She was obsessed with an X.
4,adjudicated,witty,Getting paid to sleep would be my dream job.
5,adjudicated,witty,What do you call a cheese that isn’t yours? Nacho cheese!
6,adjudicated,witty,Have you heard about the chocolate record player? It sounds pretty sweet.'
7,adjudicated,lame,"""Your wife and daughter look like twins,"" my friend said. ""Well,"" I replied, ""they were separated at birth."""
8,adjudicated,witty,Why can’t a leopard hide? Because he’s always spotted.
9,adjudicated,witty,Where’s the one place you should never take your dog? A flea market.
10,adjudicated,witty,Why was the traffic light late to work? It took too long to change.
11,adjudicated,lame,"In America, using the metric system can get you in legal trouble."
12,adjudicated,witty,"A Dachshund and a Labrador are walking together when the former suddenly unloads on his friend. “My life is a mess,” he says. “My owner is mean, my girlfriend ran away with a Pomeranian and I’m as jittery as a cat.”“Why don’t you go see a psychiatrist?” suggests the Labrador.*“I can’t. I'm not allowed on the couch.”*"
13,adjudicated,lame,"Dating a girl with an OnlyFans is a lot like having your own private, reserved parking spot. Anyone and everyone can see it, but only you actually get to use it."
14,adjudicated,witty,I had to sell my vacuum cleaner. All it was doing was gathering dust.
15,adjudicated,funny,"It's easy to convince ladies not to eat Tide Pods, but harder to deter gents."
16,adjudicated,lame,"The secret service isn't allowed to yell ""Get down!"" anymore when the president is about to be attacked. Now they have to yell ""Donald Duck!"""
17,adjudicated,lame,My sister-in-law is an archaeologist. Only person I’ve known that is excited to find a bone in her chicken.
18,adjudicated,witty,What group of people never get angry? Nomads.
19,adjudicated,witty,Why is calcium vital in the brass instrument manufacturing industry? Because calcium helps build trombones
20,adjudicated,funny,I think my wife is a weather forecaster... A guy called up asking if the coast was clear.
21,adjudicated,witty,Did you know the first French fries weren't actually cooked in France? They were cooked in Greece.
22,adjudicated,witty,Why are butter jokes so hard to make? Because there is no margarine for error.
23,adjudicated,funny,The guy who stole my diary died yesterday. My thoughts are with his family.
24,adjudicated,witty,Struggling to think of what to buy someone for Christmas? Get theme a fridge and watch their face light up when they open it.
25,adjudicated,witty,"Little known fact, the mods of /r/Jokes are all actually Peruvian owls… I think they're Inca hoots…"
26,adjudicated,witty,All vampires keep their money in a special place—the blood bank.
27,adjudicated,witty,"My friend claims he glued himself to his autobiography. I don't believe him, but that's his story and he's sticking to it. "
28,adjudicated,witty,How many narcissists does it take to screw in a light bulb? One. The narcissist holds the light bulb while the rest of the world revolves around him.
29,adjudicated,witty,Wanna hear a joke about construction? I'm still workin' on it!
30,adjudicated,funny,My wife is really mad that I have no sense of direction. I packed up my stuff and right.
31,adjudicated,witty,Without geometry life is pointless.
32,adjudicated,witty,Every date I’ve ever had has been like my WiFi signal. No Connection.
33,adjudicated,witty,"I have a joke about paper, but it’s tearable."
34,adjudicated,witty,"Women should not have children after 36—really, 36 children is enough. "
35,adjudicated,witty,How do you follow Will Smith in the snow?' 'You follow the fresh prints.'
36,adjudicated,lame,What did one snowman say to the other snow man? Do you smell carrot?
37,adjudicated,witty,"I'm so good at sleeping, I can do it with my eyes closed!  I can do it with my eyes closed!"
38,adjudicated,funny,Two cannibals are eating a clown. One says to the other: “Does this taste funny to you?”
39,adjudicated,funny,"I didn't want to believe that my dad was stealing from his job as a traffic cop, but when I got home, all the signs were there."
40,adjudicated,witty,I tried to get a smart car the other day but they sold out too fast. Why? I guess I'm just a bit slow.
41,adjudicated,lame,What do you call a sad cup of coffee? Depresso.
42,adjudicated,witty,What kind of doctor is Dr. Pepper? A fizzician.
43,adjudicated,funny,People in Athens rarely get up before sunrise. Dawn is tough on Greece.
44,adjudicated,lame,What’s worse than biting into an apple and finding a worm? Biting into an apple and finding half a worm.
45,adjudicated,funny,"As I get older, I remember all the people I lost along the way. Maybe a career as a tour guide was not the right choice. "
46,adjudicated,witty,I'm reading a book about anti-gravity. It's impossible to put down.
47,adjudicated,witty,"What kind of noise does a witch’s vehicle make? Brrrroooom, brrroooom."
48,adjudicated,lame,"A guy's credit card gets stolen, and after a couple of months he finally goes to the police to report it. Cop: Why didn't you report your stolen credit card before now?Guy: The thief was spending less money than my wife.Cop: Then why are you reporting it now?Guy: I think the thief's wife started using it."
49,adjudicated,funny,Do you think glass coffins will be a success? Remains to be seen.
50,adjudicated,lame,5/4 of people admit that they’re bad with fractions.
51,adjudicated,lame,"Guy A signs up for a haircut promotion where he pays a one time fee of $100 for unlimited haircuts, whereas Guy B said no to the promotion. Why does Guy B feel so much pain every time he gets a hair cut? Pay Per Cut."
52,adjudicated,witty,"I want to go on record that I support farming. As a matter of fact, you could call me protractor. "
53,adjudicated,witty,What does a hermit crab call its home? Michelle
54,adjudicated,lame,"Marriage involves three rings: The engagement ring, the wedding ring, and the suffer-ring."
55,adjudicated,witty,Just finished cleaning my grill. It was grate.
56,adjudicated,funny,"“I bought the world’s worst thesaurus yesterday. Not only is it terrible, it’s terrible.”"
57,adjudicated,witty,I used to run a dating service for chickens. But I was struggling to make hens meet.
58,adjudicated,witty,Why did the football coach go to the bank? To get his quarter back.
60,adjudicated,witty,Why was Hitler mad when Germany lost the war? He did Nazi it coming.
61,adjudicated,witty,I hated facial hair but then it grew on me.
62,adjudicated,lame,"I recently received a letter about my donkey dying, but as I was reading it, a gust of wind caught it and blew it up into the sky. It became an ass ending sending ascending."
63,adjudicated,lame,Why was the belt sent to jail? For holding up a pair of pants!
64,adjudicated,witty,What do you call a fake noodle? An impasta.
65,adjudicated,witty,Who were the greenest Presidents in US history? The bushes.
66,adjudicated,witty,SpongeBob may be the main character of the show. But Patrick is the star.
