label	text
witty	We’re renovating the house, and the first floor is going great, but the second floor is another story.
funny	Why do peppers make such good archers? Because they habanero.
funny	My wife gave me an ultimatum: Her or my addiction to sweets. The decision was a piece of cake.
lame	What did the ravioli play on his birthday? Pasta Parcel.
lame	If Trump wanted to avoid impeachment... ...he should’ve falsely claimed there were WMDs in Iraq
lame	I find it hard to talk openly about the holes in my hands and feet Just feels likes there’s a lot of stigmata attached
witty	Why is it so cheap to throw a party at a haunted house? Because the ghosts bring all the boos.
witty	My wife told me that I twist everything she says to my advantage. I take that as a compliment.
funny	I asked my dog what's two minus two. He said nothing.
witty	"Two strings walk into a bar... ...the bartender says, ""What'll it be?"". The first string says, ""I'll have a gin and tonic#MV*()>SDk+!^ &@P&]JEA&#65535;Segmentation Fault"".The second string says, ""You'll have to excuse my friend, he's not null-terminated."""
lame	Why did the computer get glasses? To improve its website.
lame	What kind of bird works on a construction site? A crane.
witty	What do you call an authoritarian couch potato? A dictator tot
witty	I don't get why bakers aren't wealthier. They make so much dough.
lame	What’s the best kind of music to listen to when fishing? Something catchy.
funny	“I bought the world’s worst thesaurus yesterday. Not only is it terrible, it’s terrible.”
lame	I do online classes like games... Blameit all on my internet.
lame	Why did the horny rebellion only last two minutes? Because everyone came
witty	Why was the stadium so hot after the game? Because all the fans left.
funny	I asked my wife if I was the only one she slept with. She said yes—the others were 7’s and 8’s.
lame	If cartoon characters become real, who would attract most women? Pinocchio
witty	Why do melons have weddings? Because they cantaloupe.
witty	Justice is a dish best served cold. If it were served warm, it would be justwater.
witty	What kind of car does a sheep like to drive? A lamborghini.
lame	"“Siri,” I asked my phone, “why am I so bad with women?"" She responded, “I’m Bixby, you moron.”"
funny	I didn't want to believe that my dad was stealing from his job as a traffic cop, but when I got home, all the signs were there.
witty	"A couple is watching TV together... ...and the man keeps switching channels back and forth between golf and porn over and over again.Finally, his partner says ""Jesus Christ,can you stop doing that please? Just leave it on porn! You already know how to play golf."""
witty	Did you hear about the girl who quit her job at the doughnut factory? She was fed up with the hole business.
funny	What did the fisherman do when he really liked a woman? He invited her over to net fish and krill.
witty	I heard there is a new shop called Moderation. They have everything in there.
witty	Did you hear about the cartoonist found dead at his home? Details are sketchy.
lame	The Somalian Olympics team has just apologised The Somalian Olympics Team has just apologsied to the Olympic Committee after realising that sailing and shooting were 2 separate events!!
witty	Did you hear about the cantaloupe that went to a therapist? I guess it was feeling Meloncholy.
witty	What happens when you don’t pay your exorcist? You get repossessed.
lame	I went to a smoke shop only to discover it’d been replaced by an apparel store.
witty	Did you hear the one about the kid who started a business tying shoelaces on the playground? It was a knot-for-profit.
witty	What do you call an elephant that doesn't matter? An irrelephant.'
witty	How does Moses make his coffee? Hebrews it.
witty	I locked myself out of the house earlier so I shouted through the letterbox to my cat to let me in.He said: “Me? How?”
lame	I literally only know two phone numbers 911 and J.G. Wentworth’s.
witty	I'm color blind and the other day I thought I could actually detect purple, but it was just a pigment of my imagination.
witty	What does a bee use to brush its hair?' 'A honeycomb!'
witty	Mom is mad at me because she asked me to sync her phone, so I threw it in the ocean.
witty	I built a model of Mount Everest and my son asked if it was to scale. 'No,' I said. 'It's to look at.' 
witty	What made the tomato blush? It saw the salad dressing.
witty	What kind of cars do eggs drive? Yolkswagens.
lame	Two aerials get married. The ceremony was rubbish - but the reception was brilliant.
witty	I can't stand cheese slices... ...but I respect the Kraft
witty	How do flat-earthers travel? On a plane.
funny	I inherited hypertension from my granny. She taught me to take everything with a grain of salt.
lame	My wife told me she didn't understand cloning. I told her, 'That makes two of us.' 
witty	What does a hermit crab call its home? Michelle
witty	This graveyard looks overcrowded. People must be dying to get in there.
lame	Did you hear Buffalo Bill reformed and is now a pick up artist and skin care specialist? He puts the lotion in the basket and then he gets the hoes again
witty	Have you ever tried to eat a clock? It's very time consuming.
witty	I used to run a dating service for chickens. But I was struggling to make hens meet.
witty	I just saw two naked snails fighting over a shell They were slugging it out.
funny	"My wife screamed ""you haven't listened to a single word I've said, have you?!"" What a weird way to start a conversation..."
witty	Why can’t you hear a pterodactyl go to the bathroom? The p is silent.
funny	What kind of music do chiropractors like? Hip pop.
witty	Why was the beach next to the power plant closed? Because it is spark infested waters.
funny	My parents raised me as an only child. Which really annoyed my younger brother.
witty	I have a few jokes about retired people, but none of them work.
witty	If two vegetarians get in an argument, is it still called beef? 
lame	The United Kingdom is to provide special support to those self-identify as gnomes, fairies or pixies... It'll be known as the National Elf Service.
witty	If a child refuses to sleep during nap time, are they guilty of resisting a rest?
witty	I hated facial hair but then it grew on me.
lame	"In Blackjack, why do they call ""17"" the mother in law? Why?'Cause sometimes u wanna hit it but u can't"
lame	Did you hear about the walnut and cashew that threw a party? It was nuts.
funny	I filled out a form wrong and accidentally gave a patient a bag of the wrong blood type. It was a Type-O
lame	What do you call a fish with two knees? A two-knee fish!
witty	What invention allows us to see through walls? Windows.
funny	I tried to explain to my 4-year-old son that it’s perfectly normal to accidentally poop your pants. But he’s still making fun of me.
lame	Israel Health minister who previously claimed that CORONA Virus is “divine punishment against homosexuality.” Has tested positive for the virus!!!
lame	You can tell it's a dogwood tree from its bark.
witty	Can February March? No, but April May!
lame	I tell dad jokes but I have no kids. I’m a faux pa!
funny	They say you should test your fire alarm once a month... But it's costing me a fortune in houses!
lame	An apple a day keeps the doctor away. At least it does if you throw it hard enough.
lame	Dad I was thinking Ahhh!!! So that's whats burning.
witty	Why do dads take an extra pair of socks when they play golf? In case they get a hole in one.
lame	The German women’s beach volleyball team plays against the Brazilian women’s beach volleyball team. Who wins? The audience
lame	"The secret service isn't allowed to yell ""Get down!"" anymore when the president is about to be attacked. Now they have to yell ""Donald Duck!"""
lame	"""Your wife and daughter look like twins,"" my friend said. ""Well,"" I replied, ""they were separated at birth."""
witty	Singing in the shower is fun until you get soap in your mouth. Then it's a soap opera.'
witty	How many Amazonian fish does it take to kill a Frozen character? Just one per Anna.
lame	Did you hear Bruce Springsteen changed the lyrics to one of his songs? What’s he going to change next—his hair? His clothes? His face?
lame	"A man is on trial for cannibalism. The judge asks what the defendant has to say for himself. The man replies, ""if you are what you eat, then I am the real victim here."""
witty	I’m an expert at picking leaves and heating them in water. It’s my special tea.
funny	I have a joke about inferiority complexes, but it’s not very good.
funny	How many apples grow on a tree? All of them!
witty	If April showers bring May flowers, what do May flowers bring?' 'Pilgrims.' 
funny	What has five toes and isn't your foot? My foot.
lame	Why some people didn't like Hollow Knight? The game was full of bugs.
witty	Two peanuts went walking down the street. One was assaulted.
witty	Getting paid to sleep would be my dream job.
witty	What did the two pieces of bread say on their wedding day? It was loaf at first sight.
lame	My coach told me to bring out the tiger in me during our football game. I didn't want to waste any of my favorite frosted flakes cereal.
funny	What do you call someone with no body and no nose? Nobody knows.
witty	What concert would cost only 45 cents? 50 Cent featuring Nickelback!
