,joke
0,What do you call a bear that is missing his ears? B.
1,What do you call a factory that makes okay products. A satisfactory.
2,Why did the boy bring a ladder on the bus? He wanted to go to high school.
3,I just broke up with my mathematician girlfriend. She was obsessed with an X. 
4,Getting paid to sleep would be my dream job.
5,What do you call a cheese that isn’t yours? Nacho cheese!
6,Have you heard about the chocolate record player? It sounds pretty sweet.' 
7,"""Your wife and daughter look like twins,"" my friend said. ""Well,"" I replied, ""they were separated at birth."""
8,Why can’t a leopard hide? Because he’s always spotted. 
9,Where’s the one place you should never take your dog? A flea market.
10,Why was the traffic light late to work? It took too long to change.
11,"In America, using the metric system can get you in legal trouble."
12,"A Dachshund and a Labrador are walking together when the former suddenly unloads on his friend. “My life is a mess,” he says. “My owner is mean, my girlfriend ran away with a Pomeranian and I’m as jittery as a cat.”“Why don’t you go see a psychiatrist?” suggests the Labrador.*“I can’t. I'm not allowed on the couch.”*"
13,"Dating a girl with an OnlyFans is a lot like having your own private, reserved parking spot. Anyone and everyone can see it, but only you actually get to use it."
14,I had to sell my vacuum cleaner. All it was doing was gathering dust. 
15,"It's easy to convince ladies not to eat Tide Pods, but harder to deter gents."
16,"The secret service isn't allowed to yell ""Get down!"" anymore when the president is about to be attacked. Now they have to yell ""Donald Duck!"""
17,My sister-in-law is an archaeologist. Only person I’ve known that is excited to find a bone in her chicken.
18,What group of people never get angry? Nomads. 
19,Why is calcium vital in the brass instrument manufacturing industry? Because calcium helps build trombones
20,I think my wife is a weather forecaster... A guy called up asking if the coast was clear.
21,Did you know the first French fries weren't actually cooked in France? They were cooked in Greece.
22,Why are butter jokes so hard to make? Because there is no margarine for error.
23,The guy who stole my diary died yesterday. My thoughts are with his family. 
24,Struggling to think of what to buy someone for Christmas? Get theme a fridge and watch their face light up when they open it.
25,"Little known fact, the mods of /r/Jokes are all actually Peruvian owls… I think they're Inca hoots…"
26,All vampires keep their money in a special place—the blood bank.
27,"My friend claims he glued himself to his autobiography. I don't believe him, but that's his story and he's sticking to it. "
28,How many narcissists does it take to screw in a light bulb? One. The narcissist holds the light bulb while the rest of the world revolves around him. 
29,Wanna hear a joke about construction? I'm still workin' on it!
30,My wife is really mad that I have no sense of direction. I packed up my stuff and right. 
31,Without geometry life is pointless.
32,Every date I’ve ever had has been like my WiFi signal. No Connection.
33,"I have a joke about paper, but it’s tearable."
34,"Women should not have children after 36—really, 36 children is enough. "
35,How do you follow Will Smith in the snow?' 'You follow the fresh prints.' 
36,What did one snowman say to the other snow man? Do you smell carrot?
37,"I'm so good at sleeping, I can do it with my eyes closed!  I can do it with my eyes closed!"
38,Two cannibals are eating a clown. One says to the other: “Does this taste funny to you?”
39,"I didn't want to believe that my dad was stealing from his job as a traffic cop, but when I got home, all the signs were there."
40,I tried to get a smart car the other day but they sold out too fast. Why? I guess I'm just a bit slow.
41,What do you call a sad cup of coffee? Depresso.
42,What kind of doctor is Dr. Pepper? A fizzician.
43,People in Athens rarely get up before sunrise. Dawn is tough on Greece.
44,What’s worse than biting into an apple and finding a worm? Biting into an apple and finding half a worm. 
45,"As I get older, I remember all the people I lost along the way. Maybe a career as a tour guide was not the right choice. "
46,I'm reading a book about anti-gravity. It's impossible to put down.
47,"What kind of noise does a witch’s vehicle make? Brrrroooom, brrroooom."
48,"A guy's credit card gets stolen, and after a couple of months he finally goes to the police to report it. Cop: Why didn't you report your stolen credit card before now?Guy: The thief was spending less money than my wife.Cop: Then why are you reporting it now?Guy: I think the thief's wife started using it."
49,Do you think glass coffins will be a success? Remains to be seen.
50,5/4 of people admit that they’re bad with fractions.
51,"Guy A signs up for a haircut promotion where he pays a one time fee of $100 for unlimited haircuts, whereas Guy B said no to the promotion. Why does Guy B feel so much pain every time he gets a hair cut? Pay Per Cut."
52,"I want to go on record that I support farming. As a matter of fact, you could call me protractor. "
53,What does a hermit crab call its home? Michelle
54,"Marriage involves three rings: The engagement ring, the wedding ring, and the suffer-ring."
55,Just finished cleaning my grill. It was grate.
56,"“I bought the world’s worst thesaurus yesterday. Not only is it terrible, it’s terrible.”"
57,I used to run a dating service for chickens. But I was struggling to make hens meet. 
58,Why did the football coach go to the bank? To get his quarter back.
59,"I have a joke about paper, but it’s tearable."
60,Why was Hitler mad when Germany lost the war? He did Nazi it coming.
61,I hated facial hair but then it grew on me. 
62,"I recently received a letter about my donkey dying, but as I was reading it, a gust of wind caught it and blew it up into the sky. It became an ass ending sending ascending."
63,Why was the belt sent to jail? For holding up a pair of pants!
64,What do you call a fake noodle? An impasta. 
65,Who were the greenest Presidents in US history? The bushes. 
66,SpongeBob may be the main character of the show. But Patrick is the star. 
67,What does a zombie vegetarian eat? “GRRRAAAIINS!”
68,I’m an expert at picking leaves and heating them in water. It’s my special tea. 
69,"What did the banana say to the boy? Nothing, bananas can't talk! "
70,Everyone in my neighbourhood wears woolen jumpers that are a size too small for them.... We are a very tight knit community.
71,How does Moses make his coffee? Hebrews it.
72,My local hair dresser just got charged with drug dealing. I am shocked. I've been a customer of his for years. He never told me he cut hair.
73,How does a penguin build its house? Igloos it together.' 
74,If a pig loses its voice…does it become disgruntled?
75,"I was in a grocery store when a man started to throw cheese, butter and yoghurt at me. How Dairy! "
76,"Eddie Money, Eddie Rabbit, and Eddie Van Halen are all teaming up to make a new album! The first ever album brought to you by Ed, Edd, and Eddie."
77,I tossed a yield sign into a tornado once. Guess I was throwing caution to the wind.
78,Where do burgers go dancing? At the meatball.
79,I'm reading an anti-gravity book. I can't put it down!
80,How does a hurricane see? With one eye.
81,Why doesn't Barbie get pregnant? Because Ken cums in another box.
82,I tried watching The Neverending Story. Couldn't finish it.
83,What has four wheels and flies? A garbage truck.
84,"I hope someone comes across this distress signal Damn it, I used the wrong flare"
85,Why is it so cheap to throw a party at a haunted house? Because the ghosts bring all the boos. 
86,I can't take my dog to the pond anymore because the ducks keep attacking him. That's what I get for buying a pure bread dog.
87,"If the early bird gets the worm, I'll sleep in until there's pancakes. "
88,"I call my wife Bambi, she thinks it's because she is cute with big brown eyes. But in reality I just hope someone shoots her mother with a hunting rifle."
89,"Can February March? No, but April May!"
90,Singing in the shower is fun until you get soap in your mouth. Then it's a soap opera.' 
91,What's a ninja's favorite type of shoes? Sneakers!
92,What do you call a lazy kangaroo? Pouch potato. 
93,Where do math teachers go on vacation? Times Square.
94,What did the grape do when he got stepped on? He let out a little whine.
95,6:30 is hands down the best time on the clock.
96,Why do panda bears keep buying bamboo? They just like the stock!
97,Why was the beach next to the power plant closed? Because it is spark infested waters.
98,"“Siri,” I asked my phone, “why am I so bad with women?"" She responded, “I’m Bixby, you moron.”"
99,"My landlord told me we need to talk about the heating bill. 'Sure,' I said. 'My door is always open.' "
100,"A man gets himself a date and decides to surprise the girl with some flowers. He walks into a flower shop and the florist asks ""Hey, what are you looking for, specifically?""The man says ""To have sex"""
101,"Justice is a dish best served cold. If it were served warm, it would be justwater."
102,After dealing with dad-jokes all winter... I'm hoping to get him back this summer with some son-burns.
103,"Do you wanna box for your leftovers?' 'No, but I'll wrestle you for them.' "
104,How do you get a squirrel to like you? Act like a nut.' 
105,What do you call a fly without wings? A walk.
106,What do you call an authoritarian couch potato? A dictator tot
107,What is the best way to hand feed a crocodile? Very carefully.
108,What happens when a frogs car dies? He needs a jump. If that doesn't work he has to get it toad.
109,I was reading a great book about an immortal dog the other day. It was impossible to put down.
110,Did you hear the story about the haunted lift? It really raised my spirits!
111,What did the scientist said after mixing oxygen and magnesium? O Mg
112,"My daughter's boyfriend introduced himself to me and said, 'Hello, sir, I'm David. Nice to meet you.' He put out his hand and I said, 'David, are you nervous?' He said no, so I grabbed his hand, looked him in the eyes, and said, 'Then why are you shaking?'"
113,I just spent $300 on a limo and learned it doesn't come with a driver. I can't believe I have nothing to chauffer it.
114,What do you call a guy with two dicks? Ambidextrous.
115,"Mom is mad at me because she asked me to sync her phone, so I threw it in the ocean."
116,"I just don't trust stairs, they're always up to something."
117,How do you get red color from green color? You put frog in mixer
118,I used to be addicted to the hokey-pokey until I turned myself around. 
119,Why did the man fall down the well? Because he couldn't see that well!
120,"Did you hear the one about the roof? Never mind, it's over your head."
121,"After an unsuccessful harvest, why did the farmer decide to try a career in music? Because he had a ton of sick beets."
122,I can’t believe Comic Con 2020 got cancelled because of covid 19! It was the one group of people who were 100% guaranteed to wear masks.
123,How do cows stay up to date? They read the Moo-spaper.
124,What brand of underwear do scientists wear? Kelvin Klein.
125,What kind of bird works on a construction site? A crane.
126,Yogurt is the most high class dairy product to buy. It’s so cultured.
127,Why are pigs so bad at sports? They always hog the ball. 
128,I was going to make a Star Wars joke today... But I didn't want to fourth it.
129,I only know 25 letters of the alphabet—I don't know y.
130,What is the most philosophical book? The dictionary. It provides the meaning of everything.
131,I asked my dog what's two minus two. He said nothing. 
132,Bill Gates is the best person to deal with a pandemic He's been dealing with viruses since Windows 95
133,"My dad died because he couldn’t remember his blood type. He kept insisting we “be positive,” but it’s just so hard without him."
134,I catered a movie night where they watched titanic. Safe to say the iceberg lettuce wraps didn’t go over well.
135,Why did the coffee file a police report? It got mugged.
136,My friend who was new to the internet asked me for a link to a translator When he received it he told me 'this is the link for r/jokes'I replied 'yeah everyone there's currently translating jokes from many languages '
137,"What did the photon say when asked if she needed to check a bag? ""No thanks, I'm traveling light!"""
138,Did you hear about the cartoonist found dead at his home? Details are sketchy.
139,"Justice is a dish best served cold. If it were served warm, it would be justwater. "
140,What does a bee use to brush its hair?' 'A honeycomb!' 
141,Why was the broom late to class? It over-swept.
142,What kind of cars do eggs drive? Yolkswagens. 
143,I ordered a chicken and an egg online. I’ll let you know what comes first.
144,I was going to record a video of me playing the violin but... I didn't want to fiddle with the camera
145,How does a taco say grace?' 'Lettuce pray.' 
146,"I built a model of Mount Everest and my son asked if it was to scale. 'No,' I said. 'It's to look at.' "
147,Within minutes the detectives knew what the murder weapon was. It was a brief case.
148,What happens when a strawberry gets run over crossing the street?' 'Traffic jam.' 
149,Israel Health minister who previously claimed that CORONA Virus is “divine punishment against homosexuality.” Has tested positive for the virus!!!
150,What's the difference between a well-dressed man on a unicycle and a poorly-dressed man on a bicycle? Attire.
151,"Air used to be free at the gas station, now it costs 2.50. You want to know why? Inflation. "
152,"My wife said I ruined her birthday. I’m not sure how I did that, I didn’t even KNOW it was her birthday!"
153,What did the plumber say to the singer? Nice pipes.
154,What do dogs and phones have in common? Both have collar ID.
155,I was thinking of getting a job at the U.S. Mint Can you imagine the amount of money I would make?
156,What made the tomato blush? It saw the salad dressing. 
157,What is Jorah Mormonts favorite printer settings? Grayscale What is Jorah Mormonts favorite printer settings?           Grayscale
158,Did you hear Buffalo Bill reformed and is now a pick up artist and skin care specialist? He puts the lotion in the basket and then he gets the hoes again
159,Did you hear about the cold dinner? It was chili.
160,"What vegetable is cool, but not that cool? Radish."
161,They say that 3/2 people are bad at fractions. 
162,"A very drunk guy starts beating up a nun on the street He throws kicks, uppercuts, regular punches, even some drunk karate moves.Once he is exhausted he steps back and says ""You disappoint me, Batman"""
163,"German tourist visits Poland Guy at the airport: Nationality?German dude: GermanGuy at the airport: Occupation?German dude: Nein, nein, only vacation."
164,Dating life If my relationship doesn't work out I want to be a suicide hotline doctor... I need a nice way to meet chicks with no strings attached.
165,Why did the scarecrow win an award? Because he was outstanding in his field.
166,"Did you hear about the kidnapping at school? It's okay, he woke up.' "
167,Did you hear the one about the claustrophobic astronaut? He just needed a little space.
168,I asked 10 people what LGTBQ standed for… Couldn’t get a straight answer! 
169,I told my wife that a husband is like a fine wine: we just get better with age. The next day she locked me in the cellar.
170,To the person who stole my glasses: I will find you. I have contacts.
171,What's a lawyer's favorite drink? Subpoena colada.
172,What did the proton say to the electron? Stop being so negative all the time!
173,I have been calculating the surface of the Earth in flat-earth point of view. And they were right saying that the government had been hiding much land and the surface is actually larger. How else would they be able to walk that far to fool themselves.
174,"I'm Buzz Aldrin, second man to step on the moon. Neil before me."
175,What did the blacksmith say to the knight when he delivered the knight’s new armor? You’ve got mail
176,"I’d like to have kids one day. I don’t think I could stand them any longer than that, though."
177,"Grandson asks his grandfather Grandpa, is it true, that during the WW2 you took down six German planes?Well, grandson, take down is a strong word, let’s say, not fully fueled."
