,joke
300,"I have a few jokes about retired people, but none of them work."
301,Is this pool safe for diving? It deep ends.' 
302,What do computers eat for a snack? Microchips.
303,Why haven’t aliens visited our Solar System yet? They looked at the reviews… only 1 star! 
304,"If you're feeling depressed, try drinking a gallon of water before you go to sleep. It'll give you a reason to get out of bed in the morning."
305,My coach told me to bring out the tiger in me during our football game. I didn't want to waste any of my favorite frosted flakes cereal.
306,What do you call a fish with two knees? A two-knee fish!
307,Why was 2019 afraid of 2020? Because they had a fight and 2021.
308,"In Blackjack, why do they call ""17"" the mother in law? Why?'Cause sometimes u wanna hit it but u can't-kevin hart-"
309,"If a child refuses to sleep during nap time, are they guilty of resisting a rest?"
310,"""Cop: I'm arresting you for downloading the entire Wikipedia."" Man: ""Wait! I can explain everything!"""
311,What happens when you don’t pay your exorcist? You get repossessed. 
312,"My dad told me this joke, I'm very sorry What did the Chimney say to his son?You are too young to smoke"
313,What do call a criminal landing an airplane? ConDescending. 
314,"Dad, did you get a haircut? No, I got them all cut."
315,How do you know you've mistaken a bull for a cow? The taste of the milk.
316,"A college education now costs $100,000, but it produces three very proud people—the student, his mama, and his pauper. "
317,What do you call a Frenchman wearing sandals? Philippe Flop.
318,I do online classes like games... Blame it all on my internet.
319,Why is it a bad idea to iron a four leaf clover? Because you shouldn’t press your luck! 
320,"I was in a grocery store when a man started to throw cheese, butter and yoghurt at me. How Dairy! "
321,Where do you learn all about ice cream? Sundae school.
322,Did you hear about the 12-inch dog? It was a foot long.
323,What do farmers wear? Crop-tops!
324,"As I get older, I remember all the people I lost along the way. Maybe a career as a tour guide was not the right choice."
325,My parents raised me as an only child. Which really annoyed my younger brother. 
326,"I had a dream that I weighed less than a thousandth of a gram. I was like, 0mg."
327,"My son screeched, ""Daaaaaad, you haven't listened to one word I've said, have you!?"" What a strange way to start a conversation with me..."
328,"My grandmother was famous for growing delicious strawberries. She made me promise that when she died, I would plant her strawberries on top of her grave so that people could enjoy them when they visited.I fulfilled my promise.She’s dead and berried."
329,"Yesterday, I was washing the car with my son. He said, “Dad, can’t you just use a sponge?”"
330,"My great grandfather have a heart of a lion, eye of an eagle, and.... A lifetime ban from the zoo"
331,"Did you hear they arrested the devil? Yeah, they got him on possession. "
332,I can’t find my ‘Gone in 60 seconds’ DVD. It was here a minute ago. 
333,What did the buffalo say to his son when he dropped him off at school? Bison. 
334,"In my younger days, if I had to use the bathroom I could just hold it in. Nowadays, Depend's"
335,The most important element of public speaking? Podium
336,I wasn't going to get a brain transplant. But then I changed my mind.
337,"Why does the physicist call everyone when they're stressed? Bc with a series connection, the voltage is divided."
338,"I used to hate facial hair, but then it grew on me."
339,I’m thinking about removing my spine. I feel like it’s only holding me back.
340,How do you follow Will Smith in the snow? You follow the fresh prints. 
341,How do you make 7 even? You take away the s.
342,"If the early bird gets the worm, I'll sleep in until there's pancakes. "
343,What’s more unbelievable than a talking dog? A spelling bee.
344,What sound does a witch’s car make? Broom broom! 
345,How do you throw a party in outer space? You planet. 
346,My toddler is refusing to nap. He's guilty of resisting a rest.
347,Where did the cat go after losing its tail? The retail store.
348,What do you call a bear with no teeth? A gummy bear!
349,The difference between a numerator and a denominator is a short line. Only a fraction of people will understand this 
350,My iPhone was stolen today... ...I hope the thief will face time.
351,"I want to go on record that I support farming. As a matter of fact, you could call me protractor. "
352,"Son: Dad, have you seen my sunglasses? Dad: No, have you seen my dad glasses?"
353,I thought the dryer was shrinking my clothes. Turns out it was the refrigerator all along.' 
354,February is Eczema awareness month.... I am raising money by selling scratch cards.
355,What do you call Batman when he keeps skipping mass? Christian Bale.
356,Why didn't the Pope go to the beach once he learnt trigonometry? sin cos tan
357,"Do you know the last thing my grandfather said to me before he kicked the bucket? “Grandson, watch how far I can kick this bucket.”"
358,Why can't your hand be 12 inches long? Because then it would be a foot.
359,How many Amazonian fish does it take to kill a Frozen character? Just one per Anna.
360,"A man walks into a bar. The bartender asks, ""What do you want?"" The man says, ""Oh, just some fruit punch."" The bartender sighs and shakes his head, ""If you want punch, you're gonna have to wait in line."" The man looks around, but there is no punchline."
361,How do flat-earthers travel? On a plane.
362,What's the best way to watch a fly fishing tournament? Live stream.' 
363,"Pouring rain, New York City. A drunk hails a cab. Cabbie rolls down the windo, the drunk man says ""hey mister, do you gave room for half a chicken and a six-pack in here""?Annoyed, the cabbie says ""sure""the drunk says BLUGHHHHHH"
364,"In 2017 I didn't do a marathon. I didn't do one in 2018, 2019, or 2020, either. This is a running joke. "
365,Two peanuts went walking down the street. One was assaulted.
366,"A teenage potato brings her boyfriend home to meet the parents. ""So, what do you do for work?"" asks the inquisitive father potato. “Oh, I work for a TV company as a sportscaster."" The father potato is furious and tells the boyfriend to leave immediately. “Why did you do that daddy?!” shrieks the distraught daughter, eyes wide.The father shouts, “I’m not having *my* daughter hanging around with a commentator!"""
367,Dad I was thinking Ahhh!!! So that's whats burning.
368,"Do you wanna box for your leftovers? No, but I’ll wrestle you for them. "
369,"I was sitting on the back porch with my wife when I suddenly blurted out, ""I love you."" ""Is that you or the beer talking?"" she asked. I answered, ""It's me... talking to my beer."""
370,How you fix a broken pumpkin? With a pumpkin patch. 
371,"My dad was born a conjoined twin, but separated at birth. So I have an uncle, once removed."
372,"If I had to smell like two things for the rest of my life, I'd pick lavender and citrus. But that's just my two scents."
373,I inherited hypertension from my granny. She taught me to take everything with a grain of salt.
374,The world tongue-twister champion just got arrested. I hear they're gonna give him a really tough sentence.
375,I don’t trust those trees. They seem kind of shady. 
376,What's the best smelling insect?' 'A deodor-ant.' 
377,"If cartoon characters become real, who would attract most women? Pinocchio"
378,"My homeboy got rear-ended on a motorcycle wearing a bright green shirt, with shiny red hair: It kind of makes sense.... It was hard to miss him"
379,"A rancher had only had 48 cows on his property, but when he rounded them up he had 50."
380,What’s worse than biting into an apple and finding a worm? Biting into an apple and finding half a worm.
381,You can't trust atoms. They make up everything! 
382,Shouldn’t the “roof ' of your mouth actually be called the ceiling? 
383,"Why did the man put his money in the freezer? He wanted cold, hard cash."
384,Two aerials get married. The ceremony was rubbish - but the reception was brilliant.
385,My wife gave me an ultimatum: Her or my addiction to sweets. The decision was a piece of cake.
386,"Trump's Staff picked their favorite instruments and the choice was unanimous Lyres, all of them"
387,Have you ever tried to eat a clock? It's very time consuming.
388,A guy walks into a bookstore and asks for a book on Pavlov and Schrodinger. The book keeper says it rings a bell but he doesn't know if it is there or not.
389,I dreamt about drowing in an ocean made of orange soda last night. It took me a while to work out it was just a Fanta Sea.
390,I love telling Dad jokes. Sometimes he even laughs.
391,My therapist told me I have problems expressing my emotions. Can’t say I’m surprised.
392,How do oysters get around? In mussel cars.
393,Why did the nose feel sad? It was always getting picked on.
394,Did you hear the one about the kid who started a business tying shoelaces on the playground? It was a knot-for-profit. 
395,"Justice is a dish best served cold. If it were served warm, it would be justwater."
396,If Trump wanted to avoid impeachment... ...he should’ve falsely claimed there were WMDs in Iraq
397,What kind of car does a sheep like to drive? A lamborghini.
398,"I had a dream that I weighed less than a thousandth of a gram. I was like, 0mg."
399,I went to a smoke shop only to discover it’d been replaced by an apparel store.
400,Why did the duck fall on the sidewalk? He tripped on a quack.
401,"What happened when the cast of 'Friends' were stuck out at sea in a life raft? They were fine, because Lisa Kudrow"
402,Two guys walked into a bar. The third guy ducked. 
403,i read on the internet there's a lot of people shooting heroin ...how is that guy still alive?
404,What do you call a line you wait in to buy a grill? A Barbe-Queue.
405,Can a kangaroo jump higher than a house? Of course. Houses can't jump.
406,What's the difference between Hitler's girlfriend and a female farmer? One bails her hay and one hails her bae.
