,joke
0,Do you know how many people are dead at a cemetery? All of them. 
1,"My wife told me she didn't understand cloning. I told her, 'That makes two of us.' "
2,Why did the cowboy adopt a wiener dog? He wanted to get a long little doggy.
3,"I can tolerate algebra, maybe even a little calculus but graphing is where I draw the line. "
4,How does a non-binary samurai kill people? They/Them. 
5,You can tell it's a dogwood tree from its bark.
6,What do houses wear? An address.
7,Where do boats go when they’re sick? To the dock.
8,"My wife says nothing rhymes with “orange.” And I said, “No, it doesn’t!”"
9,What did one cannibal say to the other while they were eating a clown? Does this taste funny to you? 
10,What kind of milk comes from a pampered cow? Spoiled milk.
11,A buddy asked how many fish I caught. I told him it’s not polite to fish and tell. 
12,Why didn’t the astronaut come home to his wife? He needed his space. 
13,"My dad said he was going to set me up for life. Of course, I was excited by the idea. Until he blamed me for the murder he committed."
14,I'm reading an anti-gravity book. I can't put it down!
15,Why do bees have sticky hair? Because they use a honeycomb.
16,"My life highlight was being crowned the hide and seek champion at my school, until they discovered I was cheating I peaked early."
17,"She looked up and whispered, “They’re right behind you'. "
18,What invention allows us to see through walls? Windows.
19,Why is success in the shaving industry so difficult? Razor thin margins.
20,I wasn't expecting to be diagnosed as colour blind. It really came out of the purple.
21,I just saw two naked snails fighting over a shell They were slugging it out.
22,I have a joke about perfume... ...but it doesn't make any scents.
23,Why should you never mention the number 288? It's two gross.
24,What do you call a fake noodle? An impasta. 
25,I tell dad jokes but I have no kids. I’m a faux pa!
26,What's the difference between Hitler's girlfriend and a female farmer? One bails her hay and one hails her bae.
27,"What does a Japanese Soldier and a Actor have in common? When they get discovered, their career blows up."
28,"This ham sandwich walks into a bar and orders a drink. The bartender says, “Sorry, we don’t serve food here.”"
29,Did you hear about the girl who quit her job at the doughnut factory? She was fed up with the hole business.
30,"I love how when you hear certain music, it can really take you places. For instance, the bar I'm currently in are playing Drake so I'm now going somewhere else."
31,"Justice is a dish best served cold. If it were served warm, it would be just-water."
32,How do you make 7 even? You take away the s. 
33,I was just reminiscing about the beautiful herb garden I had when I was growing up. Good thymes. 
34,What does a dad get in their stocking if they’ve been naughty? Char-coal.
35,"So two men walk into a tie shop The first men asks ""Do you want to have a race to see who can put it on the quickest""  The second man responds ""nah we will probably end up in a tie"
36,Why do cows have bells? Because their horns don’t work.
37,I'm on a seafood diet. I see food and I eat it.' 
38,Which friends do you always bring to dinner? Your taste buds.
39,Why was the stadium so hot after the game? Because all the fans left. 
40,Did you heard about the giant that threw up? It's all over town!
41,"Dad, can you put the cat out? I didn't know it was on fire."
42,"A son tells his father, “I have an imaginary girlfriend.” The father sighs and says, “You know, you could do better.” “Thanks Dad,” the son says. “That means a lot.” The father shakes his head and goes, “I was talking to your girlfriend.”"
43,"Soaking a twig in coke is nice, but soaking a twig in fanta... Fanta stick."
44,Why don't British people pronounce the letter 't'? Because the Americans threw it in the ocean.ALTERNATE punchline: Because they drank it all.
45,What kind of music do chiropractors like? Hip pop.
46,I’m an expert at picking leaves and heating them in water. It’s my special tea. 
47,"Johnny and Ruth are mountain biking down a hill... ...Ruth hits a tree.  Johnny continues, ruthlessly."
48,What do you call an old snowman? Water.
49,How does a penguin build a house? Igloos it together.
50,"The creator of the USB flash drive died today. He was lowered into his coffin, flipped over, and then lowered again."
51,Why did the nose feel sad? It was always getting picked on.
52,Where do polar bears keep their money? The snow bank. 
53,I can't stand cheese slices... ...but I respect the Kraft
54,What do you call someone with no body and no nose? Nobody knows. 
55,You can't trust atoms. They make up everything!
56,"I used to hate facial hair, but then it grew on me."
57,"My friend was showing me his tool shed and pointed to a ladder. “That's my stepladder,” he said. ""I never knew my real ladder.”"
58,What concert would cost only 45 cents? 50 Cent featuring Nickelback! 
59,"You used to be able to get air for free at gas stations, but now it's a $1. That's inflation for you. "
60,Waiter: “And how would you like your steak prepared?” Me: “Guess”Waiter: “Medium rare?”Me: “Well done”Waiter: “Uhhh..”
61,What did the buffalo say to its son when he left? Bison! 
62,I literally only know two phone numbers 911 and J.G. Wentworth’s.
63,"My dad was born a conjoined twin, but separated at birth. So I have an uncle, once removed. "
64,The Somalian Olympics team has just apologised The Somalian Olympics Team has just apologsied to the Olympic Committee after realising that sailing and shooting were 2 separate events!!
65,Why did the orange lose the race? It ran out of juice.
66,Why were the utensils stuck together? They were spooning. 
67,I managed to lose my rifle when I was in the army. I had to pay $855 to cover the loss. I’m starting to understand why a Navy captain always goes down with his ship.
68,I filled out a form wrong and accidentally gave a patient a bag of the wrong blood type. It was a Type-O
69,2020 is the most popular year on the internet. It went viral.
70,Why did police arrest the turkey? They suspected fowl play.
71,Dogs can’t operate MRI machines — but cats-can.
72,Why do melons have weddings? Because they cantaloupe.
73,What do call a criminal landing an airplane? ConDescending. 
74,What do you call a crossover between Star Wars and Back to the Future. The Man Delorean
75,"Women should not have children after 36—really, 36 children is enough."
76,Why did the orange lose the race? It ran out of juice. 
77,What happens when you pinch a grape? It lets out a little whine.
78,My teacher said “we have the ability to clone we just don’t know what kind of rights they should have.” I simply replied “copyright”
79,"A preschool teacher is teaching a student basic geography Teacher: ""what state do you live in?""Student: ""denial."""
80,"I used to be able to play piano by ear, but now I have to use my hands."
81,How do you make the number one disappear? You add “g' and it’s GONE 
82,"I once saw a one-handed man in a second-hand store. I told him, “I don’t think they have what you’re looking for, sir.”"
83,"Yesterday, I was washing the car with my son. He said, 'Dad, can’t you just use a sponge?' "
84,How does a hurricane see? With one eye.
